"Acc_name","Syn"
"Melanerpes aurifrons","Centurus aurifrons"
"Picoides scalaris","Picoides scalaris symplectus"
"Picoides scalaris","Dendrocopos scalaris"
"Podiceps nigricollis","Podiceps caspicus"
"Athene cunicularia","Speotyto cunicularia"
"Megascops kennicottii","Otus kennicottii"
"Bogertophis subocularis","Bogertophis subocularis subocularis"
"Elaphe bairdi","Elaphe obsoleta bairdi"
"Elaphe emoryi","Elaphe guttata emoryi"
"Hypsiglena torquata","Hypsiglena torquata janii"
"Lampropeltis alterna","Lampropeltis mexicana"
"Masticophis flagellum","Masticophis flagellum testaceus"
"Masticophis taeniatus","Masticophis taeniatus ornatus"
"Nerodia erythrogaster","Nerodia erythrogaster transversa"
"Nerodia rhombifer","Natrix rhombifer rhombifer"
"Nerodia rhombifer","Nerodia rhombifer rhombifer"
"Rhinocheilus lecontei","Rhinocheilus lecontei tessellatus"
"Salvadora grahamiae","Salvadora grahamiae grahamiae"
"Salvadora grahamiae","Salvadora grahamiae lineata"
"Sonora semiannulata","Sonora episcopa episcopa"
"Thamnophis cyrtopsis","Thamnophis cyrtopsis ocellatus"
"Thamnophis marcianus","Thamnophis marcianus marcianus"
"Thamnophis proximus","Thamnophis proximus diabolicus"
"Micrurus tener","Micrurus fulvius tener"
"Micrurus tener","Micrurus tener tener"
"Sceloporus cowlesi","Sceloporus undulatus"
"Sceloporus merriami","Sceloporus merriami merriami"
"Sceloporus poinsettii","Sceloporus poinsettii poinsettii"
"Sceloporus variabilis","Sceloporus abilis marmoratus"
"Urosaurus ornatus","Urosaurus ornatus schmidti"
"Cophosaurus texanus","Cophosaurus texanus texanus"
"Eumeces tetragrammus","Eumeces tetragrammus brevilineatus"
"Aspidoscelis gularis","Aspidoscelis gularis gularis"
"Aspidoscelis gularis","Cnemidophorus gularis gularis"
"Aspidoscelis gularis","Cnemidophorus gularis"
"Aspidoscelis inornata","Aspidoscelis inornata heptagramma"
"Aspidoscelis inornata","Cnemidophorus inornatus"
"Aspidoscelis marmorata","Cnemidophorus tigris"
"Aspidoscelis tesselata","Cnemidophorus tesselatus"
"Agkistrodon contortrix","Agkistrodon contortrix pictigaster"
"Crotalus lepidus","Crotalus lepidus lepidus"
"Crotalus molossus","Crotalus molossus molossus"
"Pseudemys gorzugi","Chrysemys concinna texana"
"Pseudemys gorzugi","Pseudemys concinna"
"Trachemys scripta","Trachemys scripta elegans"
"Trachemys scripta","Chrysemys scripta elegans"
"Bufo debilis","Bufo debilis debilis"
"Bufo nebulifer","Bufo valliceps"
"Acris crepitans","Acris crepitans blanchardi"
"Astyanax mexicanus","Astyanax fasciatus mexicanus"
"Campostoma anomalum","Campostoma anomalum pullum"
"Cyprinella lutrensis","Notropis lutrensis lutrensis"
"Cyprinella lutrensis","Notropis lutrensis"
"Cyprinella proserpina","Notropis proserpinus"
"Cyprinella venusta","Notropis venustus"
"Macrhybopsis aestivalis","Hybopsis aestivalis"
"Gambusia speciosa","Gambusia affinis speciosa"
"Atractosteus spatula","Lepisosteus spatula"
"Lepomis gulosus","Chaenobryttus gulosus"
"Lepomis macrochirus","Lepomis macrochirus speciosus"
"Lepomis megalotis","Lepomis megalotis aquilensis"
"Micropterus salmoides","Micropterus salmoides salmoides"
"Sander vitreus","Stizostedion vitreum"
"Coryphantha echinus var. echinus","Coryphantha cornifera echinus"
"Stuckenia pectinata","Potamogeton pectinatus"
"Sisyrinchium chilense","Sisyrinchium scabrum"
"Bahia absinthifolia","Bahia absinthifolia dealbata"
"Chloracantha spinosa","Erigeron ortegae"
"Conoclinium greggii","Eupatorium greggii"
"Conyza canadensis","Conyza canadensis canadensis"
"Gamochaeta falcata","Gnaphalium falcatum"
"Gymnosperma glutinosum","Gymnosperma glutinosa"
"Heterotheca subaxillaris","Heterotheca latifolia"
"Laennecia coulteri","Conyza coulteri"
"Pluchea carolinensis","Pluchea odorata"
"Senecio flaccidus var. flaccidus","Senecio douglasii longilobus"
"Tetraneuris scaposa var. argyrocaulon","Hymenoxys scaposa argyrocaulon"
"Thymophylla pentachaeta var. pentachaeta","Thymophylla pentachaeta"
"Wedelia texana","Wedelia hispida"
"Wedelia texana","Wedelia acapulcensis hispida"
"Tiquilia canescens var. canescens","Tiquilia canescens"
"Heliotropium curassavicum var. curassavicum","Heliotropium curassavicum"
"Rorippa teres","Rorippa teres teres"
"Chenopodium berlandieri var. berlandieri","Chenopodium berlandieri"
"Coryphantha pottsiana","Coryphantha robertii"
"Coryphantha tuberculosa","Coryphantha strobiliformis"
"Echinocereus coccineus var. paucispinus","Echinocereus triglochidiatus paucispinus"
"Echinocereus coccineus var. paucispinus","Echinocereus triglochidiatus"
"Echinocereus enneacanthus var. enneacanthus","Echinocereus enneacanthus dubius"
"Glandulicactus uncinatus var. wrightii","Ancistrocactus uncinatus wrightii"
"Hamatocactus bicolor","Ferocactus setispinus"
"Hamatocactus bicolor","Thelocactus setispinus"
"Opuntia engelmannii var. lindheimeri","Opuntia lindheimeri"
"Phemeranthus aurantiacus","Talinum aurantiacum"
"Persicaria maculosa","Polygonum persicaria"
"Persicaria pensylvanica","Polygonum pensylvanicum"
"Persicaria punctata","Polygonum punctatum"
"Portulaca pilosa","Portulaca mundula"
"Equisetum hyemale var. affine","Equisetum hyemale ssp. affine"
"Fouquieria splendens","Fouquieria splendens ssp. splendens"
"Giliastrum incisum","Gilia incisa"
"Acacia farnesiana","Acacia minuta ssp. minuta"
"Cercis canadensis var. texensis","Cercis canadensis"
"Glottidium vesicarium","Sesbania vesicaria"
"Mimosa aculeaticarpa var. biuncifera","Mimosa biuncifera"
"Parkinsonia texana var. texana","Cercidium texanum"
"Vachellia rigidula","Acacia rigidula"
"Vachellia rigidula","Acacia amentacea"
"Quercus vaseyana","Quercus pungens vaseyana"
"Funastrum crispum","Sarcostemma crispum"
"Sarcostemma cynanchoides ssp. cynanchoides","Sarcostemma cynanchoides cynanchoides"
